idx	word	count	perc	perc_acum
0	и	307	4.7	4.7
1	вы	233	3.5	8.2
2	это	174	2.6	10.8
3	то	150	2.3	13.1
4	что	147	2.2	15.4
5	я	125	1.9	17.3
6	в	121	1.8	19.1
7	на	114	1.7	20.8
8	не	114	1.7	22.6
9	есть	107	1.6	24.2
10	вот	73	1.1	25.3
11	как	67	1.0	26.3
12	язык	65	1.0	27.3
13	можете	58	0.9	28.2
14	вам	55	0.8	29.0
15	о	53	0.8	29.8
16	ну	50	0.8	30.6
17	так	48	0.7	31.3
18	чтобы	47	0.7	32.0
19	видео	47	0.7	32.7
20	с	43	0.7	33.4
21	если	41	0.6	34.0
22	всё	39	0.6	34.6
23	чтото	37	0.6	35.2
24	слушать	36	0.5	35.7
25	нужно	35	0.5	36.2
26	но	34	0.5	36.8
27	уже	34	0.5	37.3
28	бы	33	0.5	37.8
29	просто	33	0.5	38.3
30	русский	31	0.5	38.7
31	же	30	0.5	39.2
32	потому	29	0.4	39.6
33	когда	28	0.4	40.1
34	ты	28	0.4	40.5
35	языка	27	0.4	40.9
36	изучать	27	0.4	41.3
37	мы	27	0.4	41.7
38	у	27	0.4	42.1
39	вас	27	0.4	42.5
40	потом	27	0.4	43.0
41	очень	25	0.4	43.3
42	раз	25	0.4	43.7
43	будет	23	0.3	44.1
44	также	23	0.3	44.4
45	каждый	23	0.3	44.8
46	день	23	0.3	45.1
47	там	23	0.3	45.5
48	да	22	0.3	45.8
49	или	21	0.3	46.1
50	все	21	0.3	46.4
51	интересно	19	0.3	46.7
52	принципе	18	0.3	47.0
53	принцип	18	0.3	47.3
54	использовать	18	0.3	47.5
55	например	18	0.3	47.8
56	только	18	0.3	48.1
57	а	17	0.3	48.3
58	по	17	0.3	48.6
59	знаю	17	0.3	48.9
60	больше	17	0.3	49.1
61	для	16	0.2	49.4
62	какието	16	0.2	49.6
63	ещё	16	0.2	49.8
64	меня	16	0.2	50.1
65	время	15	0.2	50.3
66	он	15	0.2	50.5
67	его	14	0.2	50.8
68	слова	14	0.2	51.0
69	много	14	0.2	51.2
70	том	14	0.2	51.4
71	эффективно	14	0.2	51.6
72	из	14	0.2	51.8
73	смотрите	14	0.2	52.0
74	кто	13	0.2	52.2
75	тем	13	0.2	52.4
76	заниматься	13	0.2	52.6
77	можно	13	0.2	52.8
78	языке	13	0.2	53.0
79	поэтому	13	0.2	53.2
80	за	13	0.2	53.4
81	изучаете	13	0.2	53.6
82	аудио	13	0.2	53.8
83	мне	13	0.2	54.0
84	к	13	0.2	54.2
85	которые	13	0.2	54.4
86	материалы	13	0.2	54.6
87	слушаете	13	0.2	54.8
88	конечно	12	0.2	55.0
89	делать	12	0.2	55.2
90	подкаст	12	0.2	55.3
91	тоже	12	0.2	55.5
92	далее	12	0.2	55.7
93	лучше	12	0.2	55.9
94	понимаете	12	0.2	56.1
95	знаете	12	0.2	56.3
96	всем	11	0.2	56.4
97	первый	11	0.2	56.6
98	читать	11	0.2	56.8
99	почему	11	0.2	56.9
100	переводить	11	0.2	57.1
101	этом	11	0.2	57.3
102	выучить	10	0.2	57.4
103	какойто	10	0.2	57.6
104	понимать	10	0.2	57.7
105	русском	10	0.2	57.9
106	хотите	10	0.2	58.0
107	себя	10	0.2	58.2
108	сегодня	9	0.1	58.3
109	изучения	9	0.1	58.4
110	русского	9	0.1	58.6
111	думаю	9	0.1	58.7
112	быть	9	0.1	58.9
113	новое	9	0.1	59.0
114	именно	9	0.1	59.1
115	вообще	9	0.1	59.3
116	спасибо	9	0.1	59.4
117	того	9	0.1	59.5
118	здесь	9	0.1	59.7
119	сказать	9	0.1	59.8
120	одно	9	0.1	59.9
121	через	8	0.1	60.1
122	эффективного	8	0.1	60.2
123	этого	8	0.1	60.3
124	нет	8	0.1	60.4
125	делаете	8	0.1	60.6
126	образом	8	0.1	60.7
127	какуюто	8	0.1	60.8
128	важно	8	0.1	60.9
129	теперь	8	0.1	61.0
130	два	8	0.1	61.2
131	грамматику	8	0.1	61.3
132	пишите	8	0.1	61.4
133	увидимся	8	0.1	61.5
134	говорить	8	0.1	61.6
135	об	8	0.1	61.8
136	мои	8	0.1	61.9
137	свои	8	0.1	62.0
138	чем	8	0.1	62.1
139	эти	8	0.1	62.3
140	сейчас	8	0.1	62.4
141	привет	7	0.1	62.5
142	канале	7	0.1	62.6
143	russian	7	0.1	62.7
144	progress	7	0.1	62.8
145	произношение	7	0.1	62.9
146	они	7	0.1	63.0
147	вопервых	7	0.1	63.1
148	даже	7	0.1	63.2
149	этим	7	0.1	63.3
150	этот	7	0.1	63.4
151	следующем	7	0.1	63.5
152	пока	7	0.1	63.7
153	изучаешь	7	0.1	63.8
154	самое	7	0.1	63.9
155	такая	7	0.1	64.0
156	их	7	0.1	64.1
157	описании	7	0.1	64.2
158	те	7	0.1	64.3
159	изучении	7	0.1	64.4
160	вариант	7	0.1	64.5
161	канал	6	0.1	64.6
162	значит	6	0.1	64.7
163	второй	6	0.1	64.8
164	лет	6	0.1	64.9
165	минут	6	0.1	65.0
166	времени	6	0.1	65.1
167	работать	6	0.1	65.1
168	может	6	0.1	65.2
169	таким	6	0.1	65.3
170	жизнь	6	0.1	65.4
171	языком	6	0.1	65.5
172	пять	6	0.1	65.6
173	переводите	6	0.1	65.7
174	человек	6	0.1	65.8
175	ничего	6	0.1	65.9
176	соответственно	6	0.1	66.0
177	такой	6	0.1	66.1
178	изучает	6	0.1	66.1
179	субтитрами	6	0.1	66.2
180	нравится	6	0.1	66.3
181	сделать	6	0.1	66.4
182	смотреть	6	0.1	66.5
183	оченьочень	6	0.1	66.6
184	узнать	6	0.1	66.7
185	делаю	6	0.1	66.8
186	языки	6	0.1	66.9
187	обо	6	0.1	67.0
188	всём	6	0.1	67.1
189	тексты	6	0.1	67.1
190	до	6	0.1	67.2
191	сам	6	0.1	67.3
192	повторять	6	0.1	67.4
193	артём	5	0.1	67.5
194	контент	5	0.1	67.6
195	был	5	0.1	67.6
196	используя	5	0.1	67.7
197	постоянно	5	0.1	67.8
198	говорил	5	0.1	67.9
199	возможно	5	0.1	68.0
200	занимаетесь	5	0.1	68.0
201	три	5	0.1	68.1
202	слушаю	5	0.1	68.2
203	послушать	5	0.1	68.3
204	своей	5	0.1	68.3
205	целенаправленно	5	0.1	68.4
206	както	5	0.1	68.5
207	изучение	5	0.1	68.6
208	комментариях	5	0.1	68.6
209	сайт	5	0.1	68.7
210	хотел	5	0.1	68.8
211	вторая	5	0.1	68.9
212	более	5	0.1	68.9
213	начал	5	0.1	69.0
214	которая	5	0.1	69.1
215	самый	5	0.1	69.2
216	понять	5	0.1	69.2
217	сначала	5	0.1	69.3
218	гораздо	5	0.1	69.4
219	субтитры	5	0.1	69.5
220	ниже	5	0.1	69.5
221	легко	5	0.1	69.6
222	материал	5	0.1	69.7
223	чём	5	0.1	69.8
224	им	5	0.1	69.9
225	она	5	0.1	69.9
226	нам	5	0.1	70.0
227	года	5	0.1	70.1
228	её	5	0.1	70.2
229	тайским	5	0.1	70.2
230	занимаюсь	5	0.1	70.3
231	речь	5	0.1	70.4
232	вами	5	0.1	70.5
233	ссылка	5	0.1	70.5
234	текст	5	0.1	70.6
235	знать	5	0.1	70.7
236	сами	5	0.1	70.8
237	ответы	5	0.1	70.8
238	вопросы	5	0.1	70.9
239	улучшить	4	0.1	71.0
240	свой	4	0.1	71.0
241	третьем	4	0.1	71.1
242	грамматические	4	0.1	71.2
243	самым	4	0.1	71.2
244	своё	4	0.1	71.3
245	опять	4	0.1	71.3
246	свою	4	0.1	71.4
247	наконец	4	0.1	71.5
